CHAR_Easy,CHAR_Dens,CHAR_Order,WORD_Easy,WORD_Borrow,WORD_1mean,WORD_2mean,WORD_3mean,WORD_mmean,WORD_1pos,WORD_2pos,WORD_3pos,WORD_mpos,WORD_totaltype,WORD_Dens,WORD_Order,WORD_Local,WORD_Chinese,WORD_Chinese1,WORD_Chinese2,WORD_Chinese3,WORD_Chinese_m,WORD_1char,WORD_2char,WORD_3char,WORD_mchar,SENT_less10,SENT_less13,SIZE,ROE,ROA,ROS,LEV,FOR,GOV,CEO
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9906097723927231,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.9944531958052119,0.995759477233366,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9344072129136752,-0.9436332311775807,-0.9373912352018761,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9810395257931491,-0.9816420802027449,-0.9816942164862499,0.917141507577228,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9661809647644611,-0.9591132374223733,-0.9628467174150003,0.8708359784265667,0.9637184325303799,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9379707095721328,-0.926631110855308,-0.9302571925754145,0.8520058419413312,0.9351620280226527,0.89756007275679,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45196506759334837,-0.5032420413909965,-0.45714204260992947,0.5524542564553174,0.4932506946107223,0.37100819705731297,0.4104211831944036,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9641266461739575,-0.9753104383302488,-0.9653108133098792,0.972923419178437,0.962610667981274,0.9074197076443823,0.9251229181175455,0.586062162659433,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.969798657535693,-0.9708535839138913,-0.9712439446096403,0.9293205799293313,0.9750351779735066,0.9547023696616369,0.9250303976682248,0.487731999615335,0.9596882565316331,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9397697534529402,-0.9399989991669171,-0.9345205087901358,0.8701015108488459,0.9278269889208844,0.9176345407126756,0.9243923558687189,0.4943119267400583,0.9256811799347227,0.894193945439938,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
